Android application is debugging.

04-03 09:22:06.854 D/Mono    (16129): Prepared to set up assembly 'ImageCircle.Forms.Plugin.Android' (/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Android.dll)
04-03 09:22:06.854 D/Mono    (16129): Assembly ImageCircle.Forms.Plugin.Android[0x98c84a40] added to domain RootDomain, ref_count=1
04-03 09:22:06.856 D/Mono    (16129): AOT: image '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Android.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-ImageCircle.Forms.Plugin.Android.dll.so" not found
04-03 09:22:06.856 D/Mono    (16129): AOT: image '/usr/local/lib/mono/aot-cache/x86/ImageCircle.Forms.Plugin.Android.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-ImageCircle.Forms.Plugin.Android.dll.so" not found
04-03 09:22:06.859 D/Mono    (16129): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Android.dll'.
04-03 09:22:06.859 D/Mono    (16129): Config attempting to parse: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Android.dll.config'.
04-03 09:22:06.859 D/Mono    (16129): Config attempting to parse: '/usr/local/etc/mono/assemblies/ImageCircle.Forms.Plugin.Android/ImageCircle.Forms.Plugin.Android.config'.
04-03 09:22:06.861 D/Mono    (16129): Assembly Loader probing location: '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.dll'.Loaded assembly: /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/ImageCircle.Forms.Plugin.Android.dll [External]

04-03 09:22:06.863 D/Mono    (16129): Image addref Microcharts[0x98c84f20] -> /storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.dll[0x9ac2e100]: 2
04-03 09:22:06.863 D/Mono    (16129): Prepared to set up assembly 'Microcharts' (/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.dll)
04-03 09:22:06.863 D/Mono    (16129): Assembly Microcharts[0x98c84f20] added to domain RootDomain, ref_count=1
04-03 09:22:06.865 D/Mono    (16129): AOT: image '/storage/emulated/0/Android/data/XChallenge.XChallenge/files/.__override__/Microcharts.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Microcharts.dll.so" not found
04-03 09:22:06.866 D/Mono    (16129): AOT: image '/usr/local/lib/mono/aot-cache/x86/Microcharts.dll.so' not found: dlopen failed: library "/data/app/XChallenge.XChallenge-1/lib/x86/libaot-Microcharts.dll.so" not found
